iter	Logloss
0	0.6492597225
1	0.6276284816
2	0.606669857
3	0.5945837542
4	0.5878867761
5	0.5816544987
6	0.5780030987
7	0.575448259
8	0.5735203096
9	0.5714804064
10	0.5696807757
11	0.568967626
12	0.5683101332
13	0.56772009
14	0.5669823242
15	0.5665363552
16	0.566169527
17	0.5657314394
18	0.5654261798
19	0.5648938151
20	0.5645570134
21	0.5640350283
22	0.56366934
23	0.5634891728
24	0.5632902802
25	0.5630959532
26	0.5629039617
27	0.5628196424
28	0.5626689473
29	0.5626556047
30	0.5625164821
31	0.5623022319
32	0.5621908233
33	0.5620470731
34	0.5620220263
35	0.5618626539
36	0.5617571706
37	0.5615914933
38	0.5615173741
39	0.5615113992
40	0.5613861307
41	0.5613841696
42	0.5612879841
43	0.5612385067
44	0.5610689447
45	0.5608918243
46	0.5608913328
47	0.5608243338
48	0.5608240843
49	0.5606715244
50	0.5606132512
51	0.5605199673
52	0.5604954986
53	0.5604164262
54	0.5603428481
55	0.5602568975
56	0.5601821967
57	0.560087979
58	0.5599300463
59	0.5598554478
60	0.5597894658
61	0.5596878224
62	0.5595821278
63	0.5595404372
64	0.5594639045
65	0.5592709462
66	0.5591562302
67	0.5590809816
68	0.5589956913
69	0.558817007
70	0.5587727148
71	0.5586199518
72	0.5584955769
73	0.5583553243
74	0.5582639123
75	0.5580601377
76	0.5579268418
77	0.5578286645
78	0.5577537145
79	0.5576550214
80	0.5575347649
81	0.5574746873
82	0.5573143711
83	0.5572127363
84	0.557125223
85	0.5570469961
86	0.5569205378
87	0.5567737467
88	0.5566604389
89	0.5565190677
90	0.5564344552
91	0.5563477263
92	0.5562860734
93	0.5562020589
94	0.5560991456
95	0.5559826717
96	0.5559277027
97	0.5558399176
98	0.5558047301
99	0.555726258
100	0.5556336765
101	0.5555601444
102	0.5554411015
103	0.5553553427
104	0.5552772853
105	0.5551897888
106	0.5551134833
107	0.5550562027
108	0.5549734147
109	0.5548724932
110	0.5548215149
111	0.5547516966
112	0.5546572994
113	0.5546026034
114	0.55452094
115	0.5544698215
116	0.5543876049
117	0.5543074094
118	0.5542442034
119	0.5541843892
120	0.5541171543
121	0.5540381684
122	0.5539408216
123	0.5538892876
124	0.5538228212
125	0.5537869981
126	0.5537040419
127	0.5536532229
128	0.5535731957
129	0.5535174982
130	0.5534818989
131	0.5534000491
132	0.5533053485
133	0.5532506686
134	0.5531997981
135	0.5531379826
136	0.553060228
137	0.5529998091
138	0.5529663869
139	0.5529317254
140	0.5528741418
141	0.5527985357
142	0.552723399
143	0.5526892936
144	0.552667118
145	0.5525986911
146	0.552541296
147	0.5524961905
148	0.5524379546
149	0.5524085998
150	0.5523509417
151	0.5523237062
152	0.5522686077
153	0.5521829014
154	0.5521473578
155	0.5520992733
156	0.5520800166
157	0.55199427
158	0.5519146096
159	0.5518686797
160	0.5518366712
161	0.5517827577
162	0.5517489928
163	0.5516918203
164	0.5516488174
165	0.5516255474
166	0.5515687152
167	0.5515446802
168	0.5515057565
169	0.5514723958
170	0.5514454505
171	0.5514166443
172	0.5513782818
173	0.5513340706
174	0.5512779568
175	0.5512345701
176	0.5511883723
177	0.5511210829
178	0.5510863392
179	0.55105869
180	0.5510164865
181	0.5509613929
182	0.5509438363
183	0.5508931743
184	0.5508467569
185	0.5508139263
186	0.5507751827
187	0.5507279214
188	0.5506948184
189	0.5506674298
190	0.5506155764
191	0.5505640853
192	0.5505258409
193	0.5504945753
194	0.5504647195
195	0.5504391686
196	0.550410341
197	0.5503260847
198	0.5502973048
199	0.5502760889
